id,title,description,link,image_link,additional_image_link,availability,price,brand,condition,google_product_category,mpn,gtin
apple-squared-trinket-tray-eHcdjZ,Apple Squared Trinket Tray,"Il Frutto della Passione is a collaboration between Bitossi Home and Pangea, a creative fusion of art, fashion, and performance debuting at Milan Design Week 2023. Founded by painter and ceramist Laetitia Rouget and fashion designer Colombine Jubert, Pangea celebrates optimism through symbols and messages of joy, dreams, and poetry. Explore this exclusive capsule inspired by artisanal craftsmanship.Add a playful pop of color and artistry to any space with this squared porcelain trinket tray. The eye-catching decal design is framed by a lustrous gold rim, lending a touch of luxury to its whimsical aesthetic.*Material: Porcelain*Suitable for dishwasher use (up to 250 washes)*Not suitable for microwave*Dimensions: 12x12 cmMade in Italy",https://joyandco.com/product/apple-squared-trinket-tray-eHcdjZ,https://joyandco.com/storage/app/public/product/2025-02-19-67b638e1a4b03.webp,https://joyandco.com/storage/app/public/product/2025-02-19-67b638e26f986.webp,in stock,203.00 AED,BITOSSI,new,6456,apple-squared-trinket-tray-eHcdjZ,
aquamarine-hobnail-jug-tall-KMO9Fr,Aquamarine Hobnail Jug Tall,Bring the warmth and glow to the dining table with this tall Aquamarine pitcher.Premium features such as the slender curved handle give you a comfortable hold on the jug while the ice lip restrains wayward ice cubes.Handmade glass may contain bubbles and shades may vary due to the manufacturing process. Any minor imperfections are evidences of its handmade nature.Material: Bohemian CrystalVolume: 1000ml (1L)Dimensions: 17x27 cmWeight: 1.5 kgSuitable for dishwasherNot suitable for microwaveMade in Czech Republic.,https://joyandco.com/product/aquamarine-hobnail-jug-tall-KMO9Fr,https://joyandco.com/storage/app/public/product/2025-02-26-67bf3ac81720f.webp,,in stock,475.00 AED,KLIMCHI,new,3330,aquamarine-hobnail-jug-tall-KMO9Fr,
aquamarine-hobnail-tumblers-set-of-6-LbUM2N,Set of 6 Aquamarine Hobnail Tumblers,"With the lively shade of blue and green, KLIMCHI Aquamarine Tumblers are perfect for serving fresh drinks at your garden party or family reunion. The blues are more visible during sunlight whereas the greens come into play in the evenings.Mimicking the ocean hues, these handcrafted glasses feature avant-garde, yet minimalist hobnail design.Material: Bohemian CrystalVolume: 200mlDimensions: 7.5x12cmSuitable for dishwasherNot suitable for microwaveAvailable in a set of 6Made in Czech Republic.",https://joyandco.com/product/aquamarine-hobnail-tumblers-set-of-6-LbUM2N,https://joyandco.com/storage/app/public/product/2025-02-26-67bf3721e06c9.webp,https://joyandco.com/storage/app/public/product/2025-02-26-67bf3723f0d56.webp,in stock,600.00 AED,KLIMCHI,new,2951,aquamarine-hobnail-tumblers-set-of-6-LbUM2N,
atena-wavy-vase-JpKOm8,Atena Wavy Vase,"A striking statement piece crafted using advanced ceramic 3D-printing techniques, giving life to its fluid, wavy silhouette. The sculptural lines create a dynamic play of light and shadow, making it equally impressive filled with florals or showcased on its own.Ideal for any space that calls for a bold decorative accent. It's elegant, contemporary form blends seamlessly with both modern and classic interiors.Dimensions: 15,5x16x28cmMaterial: Ceramic",https://joyandco.com/product/atena-wavy-vase-JpKOm8,https://joyandco.com/storage/app/public/product/2025-11-24-69244bcdb8e2e.webp,,in stock,775.00 AED,RITUALI DOMESTICI,new,602,atena-wavy-vase-JpKOm8,
aurora-vase-QtwQO7,Aurora Vase,"This iridescent porcelain vase offers a luxurious appearance with striking color reflections, making it a bold statement piece for any space. Perfect for adding a touch of opulence to your decor.*Material: Porcelain*Dimensions: 20.5x20.5x33cm",https://joyandco.com/product/aurora-vase-QtwQO7,https://joyandco.com/storage/app/public/product/2025-02-26-67bf6f23a92af.webp,,in stock,490.00 AED,KERSTEN,new,602,aurora-vase-QtwQO7,
azure-tower-vase-usiPgp,Azure Tower Vase,"A striking stoneware vase in bold blue, designed with a sculptural silhouette that adds height and style to any setting. Whether displayed alone or with tall stems, it makes a sleek statement on any console or table.Material: StonewareDimensions: 9.2x9.2x34.3 cmCare: Wipe clean",https://joyandco.com/product/azure-tower-vase-usiPgp,https://joyandco.com/storage/app/public/product/2025-05-11-68206bfe624fb.webp,,in stock,155.00 AED,KERSTEN,new,602,azure-tower-vase-usiPgp,
baby-album-dream-big-little-one-GJCqxQ,Baby Album - Dream Big Little One,"Capture and cherish your baby’s first years with our charming coffee table photo album Dream Big Little One, featuring a white cloth cover with gold foil text and silkscreen balloon prints in multiple colors.The photo album features 30 pages of high-quality white photo paper, sized 28x21 cm (60 pages if used double-sided), ready to capture your memories.Material: Cover in clothPages: 30 pages of high-quality white photo paper in size 28x21 cmColor: WhiteDimensions: 33 x 27 x 5 cm",https://joyandco.com/product/baby-album-dream-big-little-one-GJCqxQ,https://joyandco.com/storage/app/public/product/2025-09-01-68b5b9738fd23.webp,https://joyandco.com/storage/app/public/product/2025-09-01-68b5b973b3a4a.webp,in stock,258.00 AED,PRINTWORKS,new,602,baby-album-dream-big-little-one-GJCqxQ,
birdy-bowl-BJBWFJ,Birdy Bowl,"The sophisticated Birdy Bowl in gold adds an elegant touch to any space. Crafted from ceramic, its unique design features an intricate ring of bird figures, creating a bold and eye-catching centerpiece.Material: CeramicDimensions: 35 cm x 35 cm x 13.5 cmNot waterproof.",https://joyandco.com/product/birdy-bowl-BJBWFJ,https://joyandco.com/storage/app/public/product/2025-02-19-67b64907447fe.webp,https://joyandco.com/storage/app/public/product/2025-02-19-67b649074f1c1.webp,in stock,567.00 AED,WERNS,new,3498,birdy-bowl-BJBWFJ,
birdy-vase-1ivN0A,Birdy Vase,"This stunning Birdy Vase features a detailed design of golden birds perched around the vase, creating a luxurious and eye-catching decorative piece. Crafted from ceramic, its glossy gold finish adds elegance and charm to any space.Material: CeramicDimensions: 23x23x27 cm",https://joyandco.com/product/birdy-vase-1ivN0A,https://joyandco.com/storage/app/public/product/2025-02-20-67b789f295cda.webp,https://joyandco.com/storage/app/public/product/2025-02-20-67b789f2a457f.webp,in stock,639.00 AED,WERNS,new,602,birdy-vase-1ivN0A,
bisou-photo-frame-I8aWvJ,Bisou Photo Frame,"This polyresin photo frame features a vibrant stripe pattern in multiple colors, adding a playful and lively touch to any space. Perfect for showcasing your favorite memories in a fun and stylish way.*Material: Polyresine*Dimensions: 10x10cm",https://joyandco.com/product/bisou-photo-frame-I8aWvJ,https://joyandco.com/storage/app/public/product/2025-02-26-67bf66b03dc38.webp,,in stock,99.00 AED,KERSTEN,new,4295,bisou-photo-frame-I8aWvJ,
black-vase-l-bnkl7X,Black Vase L,"The Black Large Vase features a contemporary design with a bold, rounded shape in deep black integrally colored glass. Its sleek and modern silhouette makes it a standout piece for any decor style.Material: GlassDimensions: 22x22x35 cm",https://joyandco.com/product/black-vase-l-bnkl7X,https://joyandco.com/storage/app/public/product/2025-02-26-67bf8d6a79f2a.webp,https://joyandco.com/storage/app/public/product/2025-02-26-67bf8d6a8475f.webp,in stock,270.00 AED,WERNS,new,602,black-vase-l-bnkl7X,
black-vase-m-J1WakU,Black Vase M,"The Black Medium Vase features a contemporary design with a bold, rounded shape in deep black integrally colored glass. Its sleek and modern silhouette makes it a standout piece for any decor style.Material: GlassDimensions: 17.5x17.5x25 cm",https://joyandco.com/product/black-vase-m-J1WakU,https://joyandco.com/storage/app/public/product/2025-02-26-67bf8cc2a2e9c.webp,https://joyandco.com/storage/app/public/product/2025-02-26-67bf8cc2afbf8.webp,in stock,199.00 AED,WERNS,new,602,black-vase-m-J1WakU,
bliss-cocktail-glass-set-of-2-wVoWvZ,Set of 2 Bliss Cocktail Glass,"The Bliss Cocktail Glass Set is the perfect addition to add some playful colour to your glass collection. The glass has a wide design with a beautiful deep purple foot and a yellow detail.Specifications• Measurements 95 x 94 x 125 mm• Material: Crystalline Glass• Dishwasher safe• Set of 2, come in a gift box.• Made in the Czech Republic",https://joyandco.com/product/bliss-cocktail-glass-set-of-2-wVoWvZ,https://joyandco.com/storage/app/public/product/2025-02-21-67b831fba327e.webp,https://joyandco.com/storage/app/public/product/2025-03-27-67e466ff147a4.webp,in stock,180.00 AED,ANNA + NINA,new,674,bliss-cocktail-glass-set-of-2-wVoWvZ,
blue-chinoiserie-dinner-plate-classics-on-acid-PVgGP5,Blue Chinoiserie Dinner Plate - Classics on Acid,"A classic look with a bold twist for party lovers and eclectic enthusiasts. Seletti x Diesel Living collection revisits well-known classical porcelain themes from across the world through an ""after party"" lens. On this porcelain dinner plate, key themes of the Dutch Delftware pottery style are warped and contorted for an unexpected merger of the crazy and the classical.Material: Bone China porcelainSize: ⌀28cmNot suitable for dishwasherNot suitable for microwave",https://joyandco.com/product/blue-chinoiserie-dinner-plate-classics-on-acid-PVgGP5,https://joyandco.com/storage/app/public/product/2025-02-26-67bf2c6089a85.webp,https://joyandco.com/storage/app/public/product/2025-02-26-67bf2c60c57d9.webp,in stock,295.00 AED,SELETTI,new,3553,blue-chinoiserie-dinner-plate-classics-on-acid-PVgGP5,
blue-glass-vase-KAAcTq,Blue Glass Vase,A blue glass vase that adds a vibrant color punch to your space.*Material: Glass*Dimensions: 8.8x8.8x22cm,https://joyandco.com/product/blue-glass-vase-KAAcTq,https://joyandco.com/storage/app/public/product/2025-02-26-67bf615ba3ff6.webp,https://joyandco.com/storage/app/public/product/2025-02-26-67bf615c2dd29.webp,in stock,99.00 AED,KERSTEN,new,602,blue-glass-vase-KAAcTq,
blue-scalloped-dinner-plate-S6VT1h,Blue Scalloped Dinner Plate,The Blue Scalloped Dinner Plate has a dazzling design that effortlessly illuminates your table setting. The hand-painted celestial blue stripes around the outer circle of the sculpted plates make the item fun and extraordinary.Specifications• Measurements 270 x 270 x 31 mm• Material Earthenware• Dishwasher Safe• Handmade in Portugal,https://joyandco.com/product/blue-scalloped-dinner-plate-S6VT1h,https://joyandco.com/storage/app/public/product/2025-02-21-67b830fb29d77.webp,https://joyandco.com/storage/app/public/product/2025-02-21-67b830fb90478.webp,in stock,165.00 AED,ANNA + NINA,new,3553,blue-scalloped-dinner-plate-S6VT1h,
blue-vase-4UH9rD,Blue Vase,"The Blue Vase features a hand-painted geometric silhouette. Its bold blue exterior is beautifully contrasted by a soft light purple interior, making it both striking and elegant. Ideal as a standalone décor piece or for displaying fresh or dried floral arrangements.Material: DolomiteDimensions: 19x18x20cm",https://joyandco.com/product/blue-vase-4UH9rD,https://joyandco.com/storage/app/public/product/2025-02-26-67bf8fb59f9ac.webp,https://joyandco.com/storage/app/public/product/2025-02-26-67bf8fb5aca9b.webp,in stock,209.00 AED,WERNS,new,602,blue-vase-4UH9rD,
blush-wave-vase-VgygWF,Blush Wave Vase,This pink dolomite vase with bold red wavy handles is perfect for an elegant and stylish flower presentation. A statement piece that adds a playful yet sophisticated touch to any space.*Material: Dolomite*Dimensions: 20.6x14.4x22cm,https://joyandco.com/product/blush-wave-vase-VgygWF,https://joyandco.com/storage/app/public/product/2025-02-26-67bf6ec361c34.webp,https://joyandco.com/storage/app/public/product/2025-02-26-67bf6ec3c956a.webp,in stock,160.00 AED,KERSTEN,new,602,blush-wave-vase-VgygWF,
boho-planter-o3q5RN,Boho planter,"Add a bold touch to your space with this uniquely designed stoneware planter. Featuring earthy tones with a vibrant red, it’s perfect for showcasing your favorite plants while doubling as a statement décor piece.*Material: Stoneware*Dimensions: 18.2x18.2x35.3cm",https://joyandco.com/product/boho-planter-o3q5RN,https://joyandco.com/storage/app/public/product/2025-02-26-67bf43f808384.webp,,in stock,330.00 AED,KERSTEN,new,721,boho-planter-o3q5RN,
bold-stripes-vase-IErdVl,Bold Stripes Vase,"This bold stoneware vase features a geometric, multi-layered design with vibrant stripes and contrasting colors, making it a perfect decorative piece for a cheerful and modern look.*Material: Stoneware*Dimensions: 14.5x14.5x18.1cm",https://joyandco.com/product/bold-stripes-vase-IErdVl,https://joyandco.com/storage/app/public/product/2025-02-26-67bf70ede34b1.webp,,in stock,150.00 AED,KERSTEN,new,602,bold-stripes-vase-IErdVl,
bowl-lisa-bone-gloss-BSKFl3,Bowl 'Lisa' Bone Gloss,"Glossy, plump, and full of personality, the Lisa bowl is an eye-catching addition to your table or shelf. With its inflated rim and pretty white bone glaze, this handmade piece from the Blow Up collection by Home Studyo brings a soft sculptural touch to serving, styling, or simply standing out.*Material: Ceramic*Dimensions: 18x7.5 cm*Hand wash only*Not suitable for dishwasher*Handmade in PortugalEach bowl is shaped and glazed by hand, so no two are exactly alike. Designed to make everyday moments feel a little more extraordinary.",https://joyandco.com/product/bowl-lisa-bone-gloss-BSKFl3,https://joyandco.com/storage/app/public/product/2025-05-03-68152cd7a93a0.webp,https://joyandco.com/storage/app/public/product/2025-05-03-68152cd8406ba.webp,in stock,249.00 AED,HOME STUDYO,new,3498,bowl-lisa-bone-gloss-BSKFl3,
bowl-lisa-bubblegum-gloss-TyMgca,Bowl 'Lisa' Bubblegum Gloss,"Glossy, plump, and full of personality, the Lisa bowl is an eye-catching addition to your table or shelf. With its inflated rim and fresh pink bubblegum glaze, this handmade piece from the Blow Up collection by Home Studyo brings a soft sculptural touch to serving, styling, or simply standing out.*Material: Ceramic*Dimensions: 18x7.5 cm*Hand wash only*Not suitable for dishwasher*Handmade in PortugalEach bowl is shaped and glazed by hand, so no two are exactly alike. Designed to make everyday moments feel a little more extraordinary.",https://joyandco.com/product/bowl-lisa-bubblegum-gloss-TyMgca,https://joyandco.com/storage/app/public/product/2025-05-03-68152e61101ca.webp,https://joyandco.com/storage/app/public/product/2025-05-03-68152e61a448a.webp,in stock,249.00 AED,HOME STUDYO,new,3498,bowl-lisa-bubblegum-gloss-TyMgca,
bowl-lisa-coral-gloss-QuUwOW,Bowl 'Lisa' Coral Gloss,"Glossy, plump, and full of personality, the Lisa bowl is an eye-catching addition to your table or shelf. With its inflated rim and vibrant coral glaze, this handmade piece from the Blow Up collection by Home Studyo brings a soft sculptural touch to serving, styling, or simply standing out.*Material: Ceramic*Dimensions: 18x7.5 cm*Hand wash only*Not suitable for dishwasher*Handmade in PortugalEach bowl is shaped and glazed by hand, so no two are exactly alike. Designed to make everyday moments feel a little more extraordinary.",https://joyandco.com/product/bowl-lisa-coral-gloss-QuUwOW,https://joyandco.com/storage/app/public/product/2025-05-03-68152d98687d0.webp,https://joyandco.com/storage/app/public/product/2025-05-03-68152d990a45b.webp,in stock,249.00 AED,HOME STUDYO,new,3498,bowl-lisa-coral-gloss-QuUwOW,
bowl-lisa-sky-gloss-jEzrk6,Bowl 'Lisa' Sky Gloss,"Glossy, plump, and full of personality, the Lisa bowl is an eye-catching addition to your table or shelf. With its inflated rim and soft sky blue glaze, this handmade piece from the Blow Up collection by Home Studyo brings a soft sculptural touch to serving, styling, or simply standing out.*Material: Ceramic*Dimensions: 18x7.5 cm*Hand wash only*Not suitable for dishwasher*Handmade in PortugalEach bowl is shaped and glazed by hand, so no two are exactly alike. Designed to make everyday moments feel a little more extraordinary.",https://joyandco.com/product/bowl-lisa-sky-gloss-jEzrk6,https://joyandco.com/storage/app/public/product/2025-05-03-68152bff75cc4.webp,https://joyandco.com/storage/app/public/product/2025-05-03-68152c001b9bf.webp,in stock,249.00 AED,HOME STUDYO,new,3498,bowl-lisa-sky-gloss-jEzrk6,
brillafiocco-candleholder-red-l-MUp8Gv,Brillafiocco Candleholder Red L,"Elegant and whimsical, this borosilicate-glass candleholder brings a refined touch of contemporary charm to any setting. Its slender silhouette is accented with a sculptural bow detail, creating a playful yet sophisticated statement piece that feels at home in both modern and classic interiors.Crafted from durable borosilicate glass, it features clean lines and a glossy finish that beautifully reflects candlelight—perfect for everyday ambiance or special occasions.Dimensions: 8x8x30 cmMaterial: Borosilicate glass",https://joyandco.com/product/brillafiocco-candleholder-red-l-MUp8Gv,https://joyandco.com/storage/app/public/product/2025-11-25-6925c51a76e8e.webp,https://joyandco.com/storage/app/public/product/2025-11-25-6925c51ade797.webp,in stock,269.00 AED,RITUALI DOMESTICI,new,588,brillafiocco-candleholder-red-l-MUp8Gv,
brillafiocco-candleholder-red-m-CA1Z6S,Brillafiocco Candleholder Red M,"Elegant and whimsical, this borosilicate-glass candleholder brings a refined touch of contemporary charm to any setting. Its slender silhouette is accented with a sculptural bow detail, creating a playful yet sophisticated statement piece that feels at home in both modern and classic interiors.Crafted from durable borosilicate glass, it features clean lines and a glossy finish that beautifully reflects candlelight—perfect for everyday ambiance or special occasions.Dimensions: 8x8x26 cmMaterial: Borosilicate glass",https://joyandco.com/product/brillafiocco-candleholder-red-m-CA1Z6S,https://joyandco.com/storage/app/public/product/2025-11-25-6925c4618d86a.webp,https://joyandco.com/storage/app/public/product/2025-11-25-6925c46201a0e.webp,in stock,252.00 AED,RITUALI DOMESTICI,new,588,brillafiocco-candleholder-red-m-CA1Z6S,
brillafiocco-candleholder-red-s-DCVqJl,Brillafiocco Candleholder Red S,"Elegant and whimsical, this borosilicate-glass candleholder brings a refined touch of contemporary charm to any setting. Its slender silhouette is accented with a sculptural bow detail, creating a playful yet sophisticated statement piece that feels at home in both modern and classic interiors.Crafted from durable borosilicate glass, it features clean lines and a glossy finish that beautifully reflects candlelight—perfect for everyday ambiance or special occasions.Dimensions: 8x8x22 cmMaterial: Borosilicate glass",https://joyandco.com/product/brillafiocco-candleholder-red-s-DCVqJl,https://joyandco.com/storage/app/public/product/2025-11-25-6925c3a2bf06b.webp,https://joyandco.com/storage/app/public/product/2025-11-25-6925c471acb74.webp,in stock,236.00 AED,RITUALI DOMESTICI,new,588,brillafiocco-candleholder-red-s-DCVqJl,
brillafiocco-candleholder-transp-l-Q0s50O,Brillafiocco Candleholder Transp. L,"Elegant and whimsical, this borosilicate-glass candleholder brings a refined touch of contemporary charm to any setting. Its slender silhouette is accented with a sculptural bow detail, creating a playful yet sophisticated statement piece that feels at home in both modern and classic interiors.Crafted from durable borosilicate glass, it features clean lines and a glossy finish that beautifully reflects candlelight—perfect for everyday ambiance or special occasions.Dimensions: 8x8x30 cmMaterial: Borosilicate glass",https://joyandco.com/product/brillafiocco-candleholder-transp-l-Q0s50O,https://joyandco.com/storage/app/public/product/2025-11-25-6925c2e40f362.webp,,in stock,267.00 AED,RITUALI DOMESTICI,new,588,brillafiocco-candleholder-transp-l-Q0s50O,
brillafiocco-candleholder-transp-m-lBYBt3,Brillafiocco Candleholder Transp. M,"Elegant and whimsical, this borosilicate-glass candleholder brings a refined touch of contemporary charm to any setting. Its slender silhouette is accented with a sculptural bow detail, creating a playful yet sophisticated statement piece that feels at home in both modern and classic interiors.Crafted from durable borosilicate glass, it features clean lines and a glossy finish that beautifully reflects candlelight—perfect for everyday ambiance or special occasions.Dimensions: 8x8x26 cmMaterial: Borosilicate glass",https://joyandco.com/product/brillafiocco-candleholder-transp-m-lBYBt3,https://joyandco.com/storage/app/public/product/2025-11-25-6925c1f4cdbfc.webp,,in stock,252.00 AED,RITUALI DOMESTICI,new,588,brillafiocco-candleholder-transp-m-lBYBt3,
