id,title,description_preview,brand,original_category,original_category_name,new_category,new_category_name,confidence,score,matched_keyword,match_source,changed,priority
bowl-lisa-sky-gloss-jEzrk6,Bowl 'Lisa' Sky Gloss,"Glossy, plump, and full of personality, the Lisa bowl is an eye-catching addition to your table or shelf. With its inflated rim and soft sky blue glaz...",HOME STUDYO,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,HIGH,88.8,bowl,Keyword Match (title),NO,LOW
bronze-hobnail-jug-tall-MItwRN,Bronze Hobnail Jug Tall,Bring the warmth and glow to the dining table with this tall handmade Bronze pitcher.Premium features such as the slender curved handle give you a com...,KLIMCHI,3330,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Pitchers & Carafes,3330,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Pitchers & Carafes,HIGH,81.725,jug,Keyword Match (title),NO,LOW
bronze-hobnail-tumblers-set-of-6-gLiGbn,Set of 6 Bronze Hobnail Tumblers,"Shall you desire to add warm accents to your dining environment, a set of handmade bobble glasses in reddish hues would be a perfect choice! As a colo...",KLIMCHI,2951,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Tumblers,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,91.6,set,Keyword Match (title),YES,LOW
bronze-palm-trees-linen-napkins-set-of-4-9uqNPG,Bronze Palm Trees Linen Napkins Set of 2,Palm trees design embroidered in bronze on beige 100% linen fabric.Material: 100% LinenDimensions: 35x35cmCold machine-wash only.Line dry in shade.Iro...,JOY&CO PICKS,4203,Category 4203,1985,Home & Garden > Kitchen & Dining > Table Linens,HIGH,85.4,napkins,Keyword Match (title),YES,LOW
bronze-palm-trees-linen-placemat-set-of-4-uPYQ5E,Bronze Palm Trees Linen Placemat Set of 2,Palm trees design embroidered in bronze on beige 100% linen fabric.Material: 100% LinenDimensions: 35x45cmCold machine-wash only.Line dry in shade.Iro...,JOY&CO PICKS,2547,Category 2547,1985,Home & Garden > Kitchen & Dining > Table Linens,HIGH,86.6,placemat,Keyword Match (title),YES,LOW
bubble-bliss-small-blue-vase-TV97xt,Bubble Bliss Small Blue Vase,"This textured glass vase features a bubble design, adding a modern and stylish touch to any space. Available in green, pink, orange, and blue, it's pe...",KERSTEN,602,Home & Garden > Decor > Vases,6049,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,HIGH,84.375,small,Keyword Match (title),YES,LOW
bubble-bliss-small-green-vase-fELe5t,Bubble Bliss Small Green Vase,"This textured glass vase features a bubble design, adding a modern and stylish touch to any space. Available in green, pink, orange, and blue, it's pe...",KERSTEN,602,Home & Garden > Decor > Vases,6049,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,HIGH,84.375,small,Keyword Match (title),YES,LOW
bubble-bliss-small-pink-vase-vc9h1y,Bubble Bliss Small Pink Vase,"This textured glass vase features a bubble design, adding a modern and stylish touch to any space. Available in green, pink, orange, and blue, it's pe...",KERSTEN,602,Home & Garden > Decor > Vases,6049,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,HIGH,84.375,small,Keyword Match (title),YES,LOW
bubble-bliss-small-red-vase-0n5hEZ,Bubble Bliss Small Red Vase,"This textured glass vase features a bubble design, adding a modern and stylish touch to any space. Available in green, pink, orange, and blue, it's pe...",KERSTEN,602,Home & Garden > Decor > Vases,6049,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,HIGH,84.375,small,Keyword Match (title),YES,LOW
bubble-bliss-tall-blue-vase-unbqYB,Bubble Bliss Tall Blue Vase,"This textured glass vase features a bubble design, adding a modern and stylish touch to any space. Available in green, pink, orange, and blue, it's pe...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,81.925,vase,Keyword Match (title),NO,LOW
bubble-bliss-tall-green-vase-nJWUpD,Bubble Bliss Tall Green Vase,"This textured glass vase features a bubble design, adding a modern and stylish touch to any space. Available in green, pink, orange, and blue, it's pe...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,81.8,vase,Keyword Match (title),NO,LOW
bubble-bliss-tall-pink-vase-kRaPzX,Bubble Bliss Tall Pink Vase,"This textured glass vase features a bubble design, adding a modern and stylish touch to any space. Available in green, pink, orange, and blue, it's pe...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,81.925,vase,Keyword Match (title),NO,LOW
bubble-bliss-tall-red-vase-BdGIlV,Bubble Bliss Tall Red Vase,"This textured glass vase features a bubble design, adding a modern and stylish touch to any space. Available in green, pink, orange, and blue, it's pe...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,82.05,vase,Keyword Match (title),NO,LOW
bubble-pop-vase-aYXp7U,Bubble Pop Vase,"This funky stoneware vase is popping with playful energy, featuring a bouncy ball-like design in fun colors. A cheerful statement piece that adds a dr...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,83.425,vase,Keyword Match (title),NO,LOW
butterfly-garden-vase-l-lqNFj1,Butterfly Garden Vase L,"A vibrant celebration of color and nature, this large stoneware vase is adorned with sculpted butterflies in playful hues. Its bold design and generou...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,94.2,decorative piece,Keyword Match (description),NO,LOW
butterfly-garden-vase-m-R11BOa,Butterfly Garden Vase M,"A vibrant celebration of color and nature, this medium-size stoneware vase is adorned with sculpted butterflies in playful hues. Its bold design and g...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,94.2,decorative piece,Keyword Match (description),NO,LOW
candelabra-eric-bone-matte-GgNYWF,Candelabra 'Eric' Bone Matte,"Sculptural yet soft in spirit, the Eric candelabra reimagines the classic three-arm form with a playful, inflated twist. Crafted in matte bone-white c...",HOME STUDYO,2784,Home & Garden > Decor > Home Fragrance Accessories > Candle Holders,2784,Home & Garden > Decor > Home Fragrance Accessories > Candle Holders,HIGH,92.0,candelabra,Keyword Match (title),NO,LOW
candle-dip-dye-yellow-tJ1CSM,Candle Dip Dye yellow,"These dip-dye taper candles feature a soft gradient design, adding a modern yet elegant touch to any table setting. Perfect for special occasions or e...",KERSTEN,588,Home & Garden > Decor > Home Fragrances > Candles,588,Home & Garden > Decor > Home Fragrances > Candles,HIGH,87.2,candle,Keyword Match (title),NO,LOW
cello-suite-n27-cotton-harmony-3000ml-yYYbh0,Cello suite n.27 Cotton Harmony 3000ML,"Seductive fragrance that announces itself with pleasantly fresh floral notes that harmonize with an elegantly flowery heart, which enhances the initia...",EDION,4741,Category 4741,2915,Health & Beauty > Personal Care > Cosmetics > Fragrance,HIGH,95.4,floral notes,Keyword Match (description),YES,LOW
cello-suite-n27-cotton-harmony-700ml-iQ4sd1,Cello suite n.27 Cotton Harmony 700ML,"Seductive fragrance that announces itself with pleasantly fresh floral notes that harmonize with an elegantly flowery heart, which enhances the initia...",EDION,4741,Category 4741,2915,Health & Beauty > Personal Care > Cosmetics > Fragrance,HIGH,95.4,floral notes,Keyword Match (description),YES,LOW
cello-suite-n29-montecarlo-night-3000ml-ecMhk9,Cello suite n.29 Montecarlo Night 3000ML,"In this sun-kissed fragrance, hints of bergamot and mandarin mix, all enhanced by the opulent and velvety heart notes of jasmine and orange blossom, e...",EDION,4741,Category 4741,2915,Health & Beauty > Personal Care > Cosmetics > Fragrance,HIGH,78.0,musky,Keyword Match (description),YES,LOW
cello-suite-n29-montecarlo-night-3000ml-u5FFZ6,Cello suite n.29 Montecarlo Night 3000ML,"In this sun-kissed fragrance, hints of bergamot and mandarin mix, all enhanced by the opulent and velvety heart notes of jasmine and orange blossom, e...",EDION,4741,Category 4741,2915,Health & Beauty > Personal Care > Cosmetics > Fragrance,HIGH,78.0,musky,Keyword Match (description),YES,LOW
cello-suite-n29-montecarlo-night-700ml-LJv3uf,Cello suite n.29 Montecarlo Night 700ML,"In this sun-kissed fragrance, hints of bergamot and mandarin mix, all enhanced by the opulent and velvety heart notes of jasmine and orange blossom, e...",EDION,4741,Category 4741,2915,Health & Beauty > Personal Care > Cosmetics > Fragrance,HIGH,78.0,musky,Keyword Match (description),YES,LOW
cello-suite-n7-woods-harmony-3000ml-ACrk7O,Cello suite n.7 Woods Harmony 3000ML,Intense and deep aroma of centuries-old forest. The majestic trees that inhabit the forests are the symbol of strength and solidity and for this very ...,EDION,4741,Category 4741,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,84.8,wood,Keyword Match (title),YES,LOW
cello-suite-n7-woods-harmony-700ml-Sj5LDL,Cello suite n.7 Woods Harmony 700ML,Intense and deep aroma of centuries-old forest. The majestic trees that inhabit the forests are the symbol of strength and solidity and for this very ...,EDION,4741,Category 4741,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,84.8,wood,Keyword Match (title),YES,LOW
che-bello-dessert-plate-QawLvb,Che Bello Dessert Plate,"Chiara Perano is an Italian-English artist and illustrator, based in the South of England.Her style draws inspiration from her Italian roots, from La ...",BITOSSI,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,121.35,dessert plate,Keyword Match (title),NO,LOW
checkmate-vase-o3SZCR,Checkmate Vase,"This colorful stoneware vase features a bold checkerboard pattern, contrasting hues, and sculptural handles, making it a statement piece for any space...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,83.55,vase,Keyword Match (title),NO,LOW
cherry-blossom-lidded-jar-EwKIkl,Cherry Blossom Lidded Jar,"This elegant lidded vase features a delicate cherry blossom pattern, hand-painted on porcelain. The soft blue background and gold accents make it a re...",WERNS,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,94.2,decorative piece,Keyword Match (description),NO,LOW
cherry-blossom-lidded-vase-lKXu7G,Cherry Blossom Lidded Vase,"This elegant lidded vase features a delicate cherry blossom pattern, hand-painted on porcelain. The soft blue background and gold accents make it a re...",WERNS,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,94.2,decorative piece,Keyword Match (description),NO,LOW
chinoiserie-birds-linen-placemat-set-of-4-BVCL8N,Chinoiserie Birds Linen Placemat Set of 4,Printed chinoiserie birds linen placemat.Material: 100% LinenDimensions: 35x45cmCold machine-wash only.Line dry in shade.Iron on a warm setting.,JOY&CO PICKS,2547,Category 2547,1985,Home & Garden > Kitchen & Dining > Table Linens,HIGH,86.6,placemat,Keyword Match (title),YES,LOW
chinoiserie-birds-linen-runner-Jp2Omz,Chinoiserie Birds Linen Runner,Printed chinoiserie birds linen runner.Material: 100% LinenDimensions: 200x40cmCold machine-wash only.Line dry in shade.Iron on a warm setting.,JOY&CO PICKS,6325,Category 6325,1985,Home & Garden > Kitchen & Dining > Table Linens,HIGH,107.15,linen runner,Keyword Match (title),YES,LOW
chrome-kiss-planter-nTDrA9,Chrome Kiss Planter,"Bring a bold, modern twist to your décor with the Chrome Kiss Planter in metallic silver. Sculpted from fine earthenware, its striking shape and gloss...",KERSTEN,721,Category 721,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,HIGH,90.6,glossy finish,Keyword Match (description),YES,LOW
ciao-bella-photo-frame-qBTc0B,Ciao Bella Photo Frame,"This polyresin photo frame features a vibrant stripe pattern in multiple colors, adding a playful and lively touch to any space. Perfect for showcasin...",KERSTEN,4295,Category 4295,3367,Home & Garden > Decor > Picture Frames,HIGH,109.825,photo frame,Keyword Match (title),YES,LOW
classic-cake-stand-W6jV8f,Classic Cake Stand,"Showcase your desserts in style with this classic blue and white porcelain cake stand. Featuring an elegant floral design, it’s perfect for serving ca...",KERSTEN,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,96.4,classic,Keyword Match (title),NO,LOW
classic-lidded-jar-iFyZoK,Classic Lidded Jar,"Bring timeless elegance to your space with this blue and white porcelain lidded jar, featuring a classic floral and bird motif. Perfect as a decorativ...",KERSTEN,7113,Category 7113,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,90.4,classic,Keyword Match (title),YES,LOW
classic-love-cappucino-mug-8stYME,Classic Love Cappucino Mug,The Classic Love Cappuccino Mug is an authentic Anna + Nina Mug design with adorable differently shaded pink hearts painted all around.Specifications:...,ANNA + NINA,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,95.8,microwave safe,Keyword Match (description),NO,LOW
classic-love-dessert-plate-vHavwn,Classic Love Dessert Plate,The Classic Love Dessert Plate is a romantic hand-painted piece with three dazzling hearts emerging from the centre of the plate. This plate will make...,ANNA + NINA,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,112.975,dessert plate,Keyword Match (title),NO,LOW
classic-yellow-porcelain-vase-l-Tex3ve,Classic Yellow Porcelain Vase L,"This classic porcelain vase features a vibrant yellow color with a delicate cherry blossom design, making it a perfect statement piece for any space.*...",KERSTEN,602,Home & Garden > Decor > Vases,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,90.925,porcelain,Keyword Match (title),YES,LOW
classic-yellow-porcelain-vase-m-oMwtLG,Classic Yellow Porcelain Vase M,"This classic porcelain vase features a vibrant yellow color with a delicate cherry blossom design, making it a perfect statement piece for any space.*...",KERSTEN,602,Home & Garden > Decor > Vases,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,90.925,porcelain,Keyword Match (title),YES,LOW
comic-art-mouse-FICTbs,Comic Art Mouse,This modern and exclusive canvas painting is an eye-catcher for every space. The piece combines a high-quality giclée print with hand-painted accents ...,JOY&CO PICKS,500044,Home & Garden > Decor > Artwork,3367,Home & Garden > Decor > Picture Frames,HIGH,65.0,frame,Keyword Match (description),YES,LOW
comic-art-teddy-olpPI9,Comic Art Teddy,This modern and exclusive canvas painting is an eye-catcher for every space. The piece combines a high-quality giclée print with hand-painted accents ...,JOY&CO PICKS,500044,Home & Garden > Decor > Artwork,3367,Home & Garden > Decor > Picture Frames,HIGH,65.0,frame,Keyword Match (description),YES,LOW
con-amore-plate-5ky8Z4,Con Amore Plate,"Chiara Perano is an Italian-English artist and illustrator, based in the South of England.Her style draws inspiration from her Italian roots, from La ...",BITOSSI,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,107.4,dining experience,Keyword Match (description),NO,LOW
confetti-dot-vase-h1doBk,Confetti Dot Vase,"Make a bold, joyful statement with the Confetti Dot Vase. Crafted from smooth stoneware, this cream-colored vase is adorned with playful 3D multicolor...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,83.175,vase,Keyword Match (title),NO,LOW
cosmic-bubbles-bowl-iuuAA6,Cosmic Bubbles Bowl,"Bold, bright, and beautifully unexpected. The Cosmic Bubbles Bowl is a hand-glazed celebration of color and form. Featuring a dreamy swirl of blues, p...",KERSTEN,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,HIGH,88.925,bowl,Keyword Match (title),NO,LOW
cozy-cappuccino-mug-set-ik8yLK,Cozy Cappuccino Mug Set,Brighten your coffee rituals with the vibrant charm of the cozy cappuccino mug set. Each mug is handmade and hand-painted with expressive blue splashe...,VAL POTTERY,2169,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,2169,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,HIGH,87.6,mug,Keyword Match (title),NO,LOW
crazy-quarter-dark-green-line-fuZS9K,Crazy Quarter Dark Green Line,"Refined yet full of personality, the Crazy Quarter plate with a deep green hand-painted rim adds subtle character to your table. It brings a clean, co...",VAL POTTERY,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,70.4,contemporary,Keyword Match (description),NO,LOW
crazy-quarter-plate-dark-green-blob-Up8RMG,Crazy Quarter Plate Dark Green Blob,"Add a bold twist to your table with the Crazy Quarter plate in deep green. Featuring hand-splattered detailing, this striking design adds a playful, a...",VAL POTTERY,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,92.25,plate,Keyword Match (title),NO,LOW
crystal-cake-stand-l-1aXHg5,Crystal Cake Stand L,"This crystal cake stand combines elegance and modern design, featuring a clear top balanced on a faceted base with amber and light purple tones. A sta...",JOY&CO PICKS,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,HIGH,92.4,crystal,Keyword Match (title),NO,LOW
crystal-cake-stand-m-znlBxJ,Crystal Cake Stand M,"This crystal cake stand combines elegance and modern design, featuring a clear top balanced on a faceted base with amber and mint tones. A statement p...",JOY&CO PICKS,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,HIGH,92.4,crystal,Keyword Match (title),NO,LOW
crystal-cake-stand-s-w5p3bW,Crystal Cake Stand S,"This crystal cake stand combines elegance and modern design, featuring a clear top balanced on a faceted base with amber and mint tones. A statement p...",JOY&CO PICKS,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,HIGH,92.4,crystal,Keyword Match (title),NO,LOW
